RefSeq,Organism,Sequence_length,N_penalty,O_penalty,D_penalty,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,oriC_edges_9,oriC_middles_9,xy_oriC_0,xy_oriC_1,xy_oriC_2,xy_oriC_3,xy_oriC_4,xy_oriC_5,xy_oriC_6,xy_oriC_7,xy_oriC_8,xy_oriC_9,xgc_oriC_0,xgc_oriC_1,xgc_oriC_2,xgc_oriC_3,xgc_oriC_4,xgc_oriC_5,xgc_oriC_6,xgc_oriC_7,xgc_oriC_8,xgc_oriC_9,ygc_oriC_0,ygc_oriC_1,ygc_oriC_2,ygc_oriC_3,ygc_oriC_4,ygc_oriC_5,ygc_oriC_6,ygc_oriC_7,ygc_oriC_8,ygc_oriC_9
NZ_LR025744.1,"Burkholderia stabilis isolate E chromosome III, complete sequence",1230157,0.0,0,"[298480, 82040, 4850]",False,"(615650, 616150)",615900,"(1146997, 1147497)",1147247,"(18389, 18889)",18639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,615900,1147247,18639,nan,nan,nan,nan,nan,nan,nan,616004,1151043,33537,nan,nan,nan,nan,nan,nan,nan,616246,1146941,18613,nan,nan,nan,nan,nan,nan,nan
NZ_LR698957.1,Helicobacter canadensis isolate MGYG-HGUT-01348 chromosome 1,1623845,0.0005228331521789333,0,[36330],False,"(1665, 2165)",1915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1915,nan,nan,nan,nan,nan,nan,nan,nan,nan,1240,417779,nan,nan,nan,nan,nan,nan,nan,nan,3057,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR593888.1,Gemmata obscuriglobus UQM 2246 chromosome 1,9032617,8.413951349869036e-06,0,"[19870, 2603800]",True,"(1400689, 1401189)",1400939,"(7399956, 7400456)",7400206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1400939,7400206,nan,nan,nan,nan,nan,nan,nan,nan,1401708,7280098,8233988,nan,nan,nan,nan,nan,nan,nan,9025005,1400715,7410288,nan,nan,nan,nan,nan,nan,nan
NZ_LT840184.1,Paenibacillus uliginis N3/975 chromosome I,6452185,0.011646752224246515,0,[1494690],False,"(6385757, 6386257)",6386007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6386007,nan,nan,nan,nan,nan,nan,nan,nan,nan,8583,nan,nan,nan,nan,nan,nan,nan,nan,nan,6386033,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010528.1,"Cupriavidus taiwanensis LMG 19424 chromosome 1, complete sequence",3416911,0.0,0,[889380],False,"(3381307, 3381807)",3381557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3381557,nan,nan,nan,nan,nan,nan,nan,nan,nan,3379958,nan,nan,nan,nan,nan,nan,nan,nan,nan,7517,3030912,nan,nan,nan,nan,nan,nan,nan,nan
NC_010530.1,"Cupriavidus taiwanensis LMG 19424 chromosome 2, complete sequence",2502411,0.0,0,[5760],False,"(209, 709)",459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,459,nan,nan,nan,nan,nan,nan,nan,nan,nan,295,nan,nan,nan,nan,nan,nan,nan,nan,nan,583,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM002299.1,"Congregibacter litoralis KT71 chromosome, whole genome shotgun sequence",4351117,0.00011491302118513476,0,[240810],False,"(193384, 193884)",193634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,193634,nan,nan,nan,nan,nan,nan,nan,nan,nan,193567,nan,nan,nan,nan,nan,nan,nan,nan,nan,4351040,205607,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM002917.1,"Hoeflea phototrophica DFL-43 chromosome, whole genome shotgun sequence",4468465,0.0003012220080049861,0,"[1176010, 130]",False,"(4468207, 241)",4468457,"(854273, 854773)",854523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4468457,854523,nan,nan,nan,nan,nan,nan,nan,nan,4468464,874408,nan,nan,nan,nan,nan,nan,nan,nan,4468457,815608,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM011002.1,"Roseibium alexandrii DFL-11 chromosome, whole genome shotgun sequence",5300354,0.00020828797472772573,0,[466010],False,"(3867341, 3867841)",3867591,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3867591,nan,nan,nan,nan,nan,nan,nan,nan,nan,3867974,nan,nan,nan,nan,nan,nan,nan,nan,nan,3844674,1662,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001024.1,"Aeromicrobium marinum DSM 15272 chromosome, whole genome shotgun sequence",3079840,0.0020780300275338977,0,"[419270, 425030, 85950, 9570]",True,"(107, 607)",357,"(2050178, 2050678)",2050428,"(2711008, 2711508)",2711258,"(1168425, 1168925)",1168675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,357,2050428,2711258,1168675,nan,nan,nan,nan,nan,nan,9059,2050428,2711561,1437865,nan,nan,nan,nan,nan,nan,9537,2029177,2715858,nan,nan,nan,nan,nan,nan,nan
NZ_CM000753.1,"Bacillus thuringiensis serovar berliner ATCC 10792 chromosome, whole genome shotgun sequence",6260142,0.004041441871446366,0,[47250],False,"(4544888, 4545388)",4545138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4545138,nan,nan,nan,nan,nan,nan,nan,nan,nan,677973,4542776,nan,nan,nan,nan,nan,nan,nan,nan,4545139,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001022.1,"Aminomonas paucivorans DSM 12260 chromosome, whole genome shotgun sequence",2630170,3.802035609865522e-05,0,[7840],False,"(1992, 2492)",2242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2242,nan,nan,nan,nan,nan,nan,nan,nan,nan,2275,nan,nan,nan,nan,nan,nan,nan,nan,nan,1883,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001403.1,"Mucilaginibacter paludis DSM 18603 chromosome, whole genome shotgun sequence",8408322,7.135787616126023e-05,0,[1705200],False,"(3790059, 3790559)",3790309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3790309,nan,nan,nan,nan,nan,nan,nan,nan,nan,3800459,nan,nan,nan,nan,nan,nan,nan,nan,nan,3715199,6902773,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001023.1,"Algoriphagus machipongonensis strain PR1 chromosome, whole genome shotgun sequence",4787724,0.00020886751199526121,1,[2457660],False,"(121538, 122038)",121788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,248412,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AABW01000001.1,"Rickettsia sibirica 246 chromosome, whole genome shotgun sequence",1250021,7.999865602257882e-07,1,[744030],False,"(655312, 655812)",655562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1249967,nan,nan,nan,nan,nan,nan,nan,nan,nan,684989,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_ABIZ01000001.1,"Verrucomicrobium spinosum DSM 4136 = JCM 18804 strain DSM 4136 chromosome, whole genome shotgun sequence",8220857,0.0,0,[779390],False,"(8177334, 8177834)",8177584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8177584,nan,nan,nan,nan,nan,nan,nan,nan,nan,8138617,nan,nan,nan,nan,nan,nan,nan,nan,nan,8177586,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001368.1,"Desulfovibrio carbinoliphilus subsp. oakridgensis strain FW-101-2B chromosome, whole genome shotgun sequence",4102695,9.749688923987769e-05,0,"[59080, 805310]",False,"(2806440, 2806940)",2806690,"(3779052, 3779552)",3779302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2806690,3779302,nan,nan,nan,nan,nan,nan,nan,nan,2806779,3773214,nan,nan,nan,nan,nan,nan,nan,nan,2809733,1406980,3732948,nan,nan,nan,nan,nan,nan,nan
NC_015312.1,"Pseudonocardia dioxanivorans CB1190, complete sequence",7096571,0.0,0,[1550980],False,"(7015749, 7016249)",7015999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7015999,nan,nan,nan,nan,nan,nan,nan,nan,nan,7015970,nan,nan,nan,nan,nan,nan,nan,nan,nan,7093519,5764827,nan,nan,nan,nan,nan,nan,nan,nan
NC_021039.1,"Ruminococcus champanellensis 18P13 = JCM 17042, complete sequence",2573208,0.04649993315736621,0,"[529130, 244870]",True,"(441329, 441829)",441579,"(13440, 13940)",13690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,441579,13690,nan,nan,nan,nan,nan,nan,nan,nan,443689,14734,nan,nan,nan,nan,nan,nan,nan,nan,2491,417233,nan,nan,nan,nan,nan,nan,nan,nan
NC_021016.1,"Anaerostipes hadrus, complete sequence",3114788,0.020485824396395517,0,[64850],False,"(3111295, 3111795)",3111545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3111545,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,817248,382882,nan,nan,nan,nan,nan,nan,nan,3111552,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021038.1,"Fretibacterium fastidiosum, complete sequence",2728333,0.29850425149715965,0,"[343540, 370, 44170]",True,"(63675, 64175)",63925,"(1357987, 1358487)",1358237,"(2580245, 2580745)",2580495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63925,1358237,2580495,nan,nan,nan,nan,nan,nan,nan,1358207,63906,2322473,2584427,nan,nan,nan,nan,nan,nan,63925,1360415,529745,2601604,nan,nan,nan,nan,nan,nan
NZ_CM001167.1,"Bacteroides coprosuis DSM 18011 chromosome, whole genome shotgun sequence",2991798,3.3424716508266934e-05,0,[825870],False,"(393306, 393806)",393556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,393556,nan,nan,nan,nan,nan,nan,nan,nan,nan,377621,2975313,nan,nan,nan,nan,nan,nan,nan,nan,418914,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001466.1,"Saccharomonospora azurea NA-128 chromosome, whole genome shotgun sequence",4763852,0.001994184538058697,0,[46550],False,"(2970801, 2971301)",2971051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2971051,nan,nan,nan,nan,nan,nan,nan,nan,nan,2971002,nan,nan,nan,nan,nan,nan,nan,nan,nan,2973330,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001488.1,"Desulfobacter postgatei 2ac9 chromosome, whole genome shotgun sequence",3974658,0.0005535067419637111,0,[1172430],False,"(736011, 736511)",736261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,736261,nan,nan,nan,nan,nan,nan,nan,nan,nan,736189,nan,nan,nan,nan,nan,nan,nan,nan,nan,271892,794811,2508536,nan,nan,nan,nan,nan,nan,nan
NZ_CM001371.1,"Fluoribacter dumoffii Tex-KL chromosome, whole genome shotgun sequence",3635360,0.0031694247612341006,0,[43770],False,"(18952, 19452)",19202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19202,nan,nan,nan,nan,nan,nan,nan,nan,nan,11181,nan,nan,nan,nan,nan,nan,nan,nan,nan,8993,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001377.1,"Thermanaerovibrio velox DSM 12556 chromosome, whole genome shotgun sequence",1880838,5.3167790102071524e-05,0,[27130],False,"(1108, 1608)",1358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1358,nan,nan,nan,nan,nan,nan,nan,nan,nan,145,nan,nan,nan,nan,nan,nan,nan,nan,nan,1502,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AHCD03000044.1,"Pseudoalteromonas rubra strain DSM 6842 chromosome II, whole genome shotgun sequence",1388597,0.0,0,[388910],False,"(21576, 22076)",21826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21826,nan,nan,nan,nan,nan,nan,nan,nan,nan,22077,nan,nan,nan,nan,nan,nan,nan,nan,nan,2631,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001398.1,"Oenococcus kitaharae DSM 17330 chromosome, whole genome shotgun sequence",1833925,5.4527856918903445e-05,0,[477060],False,"(399603, 400103)",399853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,399853,nan,nan,nan,nan,nan,nan,nan,nan,nan,378988,nan,nan,nan,nan,nan,nan,nan,nan,nan,402841,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_016818.1,"Rahnella aquatilis CIP 78.65 = ATCC 33071, complete sequence",4861101,0.0,0,[317930],False,"(4846027, 4846527)",4846277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4846277,nan,nan,nan,nan,nan,nan,nan,nan,nan,985,nan,nan,nan,nan,nan,nan,nan,nan,nan,4846189,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AFRZ01000001.1,"Sulfurimonas gotlandica GD1 chromosome, whole genome shotgun sequence",2952682,0.0,0,"[186900, 394740]",False,"(1252654, 1253154)",1252904,"(2569715, 2570215)",2569965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1252904,2569965,nan,nan,nan,nan,nan,nan,nan,nan,1241999,2090899,207932,nan,nan,nan,nan,nan,nan,nan,1261736,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001484.1,"Saccharomonospora glauca K62 chromosome, whole genome shotgun sequence",4538746,0.00039658531233076273,0,"[57630, 425110]",False,"(650, 1150)",900,"(2001133, 2001633)",2001383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,900,2001383,nan,nan,nan,nan,nan,nan,nan,nan,3781,2001362,nan,nan,nan,nan,nan,nan,nan,nan,900,1980106,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001441.1,"Desulfosporosinus youngiae DSM 17734 chromosome, whole genome shotgun sequence",5660978,5.2994376590052106e-05,0,[19930],False,"(490, 990)",740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,740,nan,nan,nan,nan,nan,nan,nan,nan,nan,2230,nan,nan,nan,nan,nan,nan,nan,nan,nan,1234,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001439.1,"Saccharomonospora marina XMU15 chromosome, whole genome shotgun sequence",5965593,0.00046935820127186014,0,"[380440, 340190, 368230, 1516550]",False,"(169459, 169959)",169709,"(74610, 75110)",74860,"(5431526, 5432026)",5431776,"(4291098, 4291598)",4291348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,169709,74860,5431776,4291348,nan,nan,nan,nan,nan,nan,173897,79048,5431775,4289062,nan,nan,nan,nan,nan,nan,154875,5413363,4272053,nan,nan,nan,nan,nan,nan,nan
NZ_CM001440.1,"Saccharomonospora cyanea NA-134 chromosome, whole genome shotgun sequence",5408301,7.396038053355389e-05,0,[4420],False,"(5406048, 5406548)",5406298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5406298,nan,nan,nan,nan,nan,nan,nan,nan,nan,5406404,nan,nan,nan,nan,nan,nan,nan,nan,nan,5406183,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017521.1,"Mycoplasma leachii 99/014/6, complete sequence",1017232,0.0004915299558016264,0,[250380],False,"(177146, 177646)",177396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,177396,nan,nan,nan,nan,nan,nan,nan,nan,nan,38,904998,189788,807873,419614,nan,nan,nan,nan,nan,177269,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_014145.1,"Thiomonas arsenitoxydans, complete sequence",3738778,0.002095337032581234,0,[669920],False,"(31434, 31934)",31684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31684,nan,nan,nan,nan,nan,nan,nan,nan,nan,40055,3079436,nan,nan,nan,nan,nan,nan,nan,nan,73551,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001486.1,"Thermoanaerobacter siderophilus SR4 chromosome, whole genome shotgun sequence",2540159,0.0016534398043587036,0,"[770, 47630]",False,"(1249685, 1250185)",1249935,"(2539860, 200)",2540110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1249935,2540110,nan,nan,nan,nan,nan,nan,nan,nan,1248342,2540112,nan,nan,nan,nan,nan,nan,nan,nan,1250723,2540074,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001513.1,"Pseudomonas lactis strain SS101 chromosome, whole genome shotgun sequence",6179543,1.6182426435093988e-05,0,[102000],False,"(1477, 1977)",1727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1727,nan,nan,nan,nan,nan,nan,nan,nan,nan,6176411,nan,nan,nan,nan,nan,nan,nan,nan,nan,1970,nan,nan,nan,nan,nan,nan,nan,nan,nan
